 sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.200000E+001     -0.218764E+013     -0.579627E-039      0.218764E+013      0.765576E+001 
     -0.199000E+001     -0.216325E+013     -0.573382E-039      0.216325E+013      0.742163E+001 
     -0.198000E+001     -0.213887E+013     -0.567198E-039      0.213887E+013      0.204956E+001 
     -0.197000E+001     -0.211451E+013     -0.561074E-039      0.211451E+013      0.650806E+001 
     -0.196000E+001     -0.209016E+013     -0.555009E-039      0.209016E+013      0.748047E+001 
     -0.195000E+001     -0.206583E+013     -0.549004E-039      0.206583E+013      0.559741E+001 
     -0.194000E+001     -0.204152E+013     -0.543058E-039      0.204152E+013      0.672607E+001 
     -0.193000E+001     -0.201722E+013     -0.537171E-039      0.201722E+013      0.474951E+001 
     -0.192000E+001     -0.199294E+013     -0.531341E-039      0.199294E+013      0.647290E+001 
     -0.191000E+001     -0.196867E+013     -0.525570E-039      0.196867E+013      0.959668E+001 
     -0.190000E+001     -0.194442E+013     -0.519857E-039      0.194442E+013      0.144116E+001 
     -0.189000E+001     -0.192019E+013     -0.514200E-039      0.192019E+013      0.195312E+000 
     -0.188000E+001     -0.189597E+013     -0.508601E-039      0.189597E+013      0.807031E+001 
     -0.187000E+001     -0.187178E+013     -0.503058E-039      0.187178E+013      0.470337E+001 
     -0.186000E+001     -0.184760E+013     -0.497571E-039      0.184760E+013      0.353589E+001 
     -0.185000E+001     -0.182344E+013     -0.492140E-039      0.182344E+013      0.711768E+001 
     -0.184000E+001     -0.179930E+013     -0.486765E-039      0.179930E+013      0.400684E+001 
     -0.183000E+001     -0.177518E+013     -0.481444E-039      0.177518E+013      0.580786E+001 
     -0.182000E+001     -0.175108E+013     -0.476178E-039      0.175108E+013      0.186011E+001 
     -0.181000E+001     -0.172700E+013     -0.470967E-039      0.172700E+013      0.878198E+001 
     -0.180000E+001     -0.170294E+013     -0.465810E-039      0.170294E+013      0.532593E+001 
     -0.179000E+001     -0.167891E+013     -0.460707E-039      0.167891E+013      0.283813E+001 
     -0.178000E+001     -0.165489E+013     -0.455657E-039      0.165489E+013      0.524585E+001 
     -0.177000E+001     -0.163090E+013     -0.450660E-039      0.163090E+013      0.218262E+001 
     -0.176000E+001     -0.160693E+013     -0.445715E-039      0.160693E+013      0.224756E+001 
     -0.175000E+001     -0.158299E+013     -0.440824E-039      0.158299E+013      0.299023E+001 
     -0.174000E+001     -0.155907E+013     -0.435984E-039      0.155907E+013      0.992920E+000 
     -0.173000E+001     -0.153517E+013     -0.431196E-039      0.153517E+013     -0.235229E+001 
     -0.172000E+001     -0.151130E+013     -0.426460E-039      0.151130E+013      0.356396E+001 
     -0.171000E+001     -0.148746E+013     -0.421774E-039      0.148746E+013      0.540625E+001 
     -0.170000E+001     -0.146364E+013     -0.417140E-039      0.146364E+013      0.629980E+001 
     -0.169000E+001     -0.143985E+013     -0.412556E-039      0.143985E+013      0.622144E+001 
     -0.168000E+001     -0.141609E+013     -0.408022E-039      0.141609E+013      0.227051E-001 
     -0.167000E+001     -0.139235E+013     -0.403538E-039      0.139235E+013     -0.536621E+000 
     -0.166000E+001     -0.136865E+013     -0.399104E-039      0.136865E+013      0.106697E+002 
     -0.165000E+001     -0.134498E+013     -0.394719E-039      0.134498E+013      0.400537E+001 
     -0.164000E+001     -0.132134E+013     -0.390383E-039      0.132134E+013      0.262451E+001 
     -0.163000E+001     -0.129773E+013     -0.386095E-039      0.129773E+013      0.553345E+001 
     -0.162000E+001     -0.127416E+013     -0.381856E-039      0.127416E+013      0.875317E+001 
     -0.161000E+001     -0.125062E+013     -0.377666E-039      0.125062E+013      0.688184E+001 
     -0.160000E+001     -0.122711E+013     -0.373523E-039      0.122711E+013      0.313745E+001 
     -0.159000E+001     -0.120364E+013     -0.369427E-039      0.120364E+013      0.314575E+001 
     -0.158000E+001     -0.118021E+013     -0.365379E-039      0.118021E+013      0.124023E+001 
     -0.157000E+001     -0.115682E+013     -0.361378E-039      0.115682E+013      0.449829E+001 
     -0.156000E+001     -0.113346E+013     -0.357424E-039      0.113346E+013      0.146606E+001 
     -0.155000E+001     -0.111015E+013     -0.353516E-039      0.111015E+013      0.447095E+001 
     -0.154000E+001     -0.108688E+013     -0.349654E-039      0.108688E+013      0.360522E+001 
     -0.153000E+001     -0.106365E+013     -0.345838E-039      0.106365E+013      0.657861E+001 
     -0.152000E+001     -0.104047E+013     -0.342068E-039      0.104047E+013      0.522302E+001 
     -0.151000E+001     -0.101733E+013     -0.338344E-039      0.101733E+013      0.591675E+001 
     -0.150000E+001     -0.994242E+012     -0.334664E-039      0.994242E+012      0.323547E+001 
     -0.149000E+001     -0.971201E+012     -0.331030E-039      0.971201E+012      0.341797E+001 
     -0.148000E+001     -0.948211E+012     -0.327440E-039      0.948211E+012      0.616943E+001 
     -0.147000E+001     -0.925273E+012     -0.323895E-039      0.925273E+012      0.381494E+001 
     -0.146000E+001     -0.902388E+012     -0.320394E-039      0.902388E+012      0.434839E+001 
     -0.145000E+001     -0.879560E+012     -0.316937E-039      0.879560E+012      0.790295E+001 
     -0.144000E+001     -0.856789E+012     -0.313524E-039      0.856789E+012      0.562854E+001 
     -0.143000E+001     -0.834078E+012     -0.310155E-039      0.834078E+012      0.589246E+001 
     -0.142000E+001     -0.811428E+012     -0.306829E-039      0.811428E+012      0.444702E+001 
     -0.141000E+001     -0.788842E+012     -0.303546E-039      0.788842E+012      0.483936E+001 
     -0.140000E+001     -0.766322E+012     -0.300306E-039      0.766322E+012      0.556030E+000 
     -0.139000E+001     -0.743870E+012     -0.297110E-039      0.743870E+012     -0.126099E+000 
