V,Cl1,Cl2,Cl3,Total,Ns_cm2,Qs_C_per_cm2,C_F_per_cm2,C_over_Cox
-3.0,-4561160000000.0,3615740000.0,4562000000000.0,4457200000.0,4562000000000.0,7.309129804307999e-07,-3.959619333267593e-07,-0.9173394827359852
-2.9,-4313590000000.0,3232450000.0,4314860000000.0,4499290000.0,4314860000000.0,6.91316787098124e-07,-3.955293456355794e-07,-0.9163372910214158
-2.8,-4066640000000.0,2871590000.0,4068260000000.0,4495220000.0,4068260000000.0,6.51807111303684e-07,-3.945920723046908e-07,-0.9141658756398517
-2.7,-3820340000000.0,2533110000.0,3822290000000.0,4490780000.0,3822290000000.0,6.123983726371859e-07,-3.935266248430804e-07,-0.9116975145650777
-2.6,-3574760000000.0,2216920000.0,3577020000000.0,4485670000.0,3577020000000.0,5.73101786335068e-07,-3.923410141339192e-07,-0.9089507669029213
-2.5,-3329970000000.0,1922920000.0,3332530000000.0,4479570000.0,3332530000000.0,5.33930169810402e-07,-3.9103524017721e-07,-0.9059256326533893
-2.4,-3086070000000.0,1650990000.0,3088890000000.0,4472530000.0,3088890000000.0,4.948947382996259e-07,-3.8957725944026976e-07,-0.9025478753931728
-2.3,-2843160000000.0,1401020000.0,2846220000000.0,4463170000.0,2846220000000.0,4.5601471792234797e-07,-3.879350283904203e-07,-0.8987432586989749
-2.2,-2601360000000.0,1172840000.0,2604630000000.0,4449330000.0,2604630000000.0,4.17307732621542e-07,-3.860765034949805e-07,-0.8944375461474914
-2.1,-2360820000000.0,966294000.0,2364280000000.0,4424480000.0,2364280000000.0,3.78799417223352e-07,-3.839536194549296e-07,-0.8895193831037683
-2.0,-2121750000000.0,781180000.0,2125340000000.0,4369700000.0,2125340000000.0,3.40517008730556e-07,-3.816144415692896e-07,-0.8841001242027627
-1.9,-1884380000000.0,617281000.0,1887910000000.0,4145150000.0,1887910000000.0,3.02476528909494e-07,-3.794434922302202e-07,-0.8790706065240911
-1.8,-1649040000000.0,474486000.0,1651680000000.0,3118420000.0,1651680000000.0,2.64628310284512e-07,-3.759587580512702e-07,-0.8709973954900586
-1.7,-1416150000000.0,352056000.0,1418600000000.0,2805270000.0,1418600000000.0,2.2728477729923998e-07,-3.7106410843440007e-07,-0.8596577818307622
-1.6,-1186300000000.0,249730000.0,1188480000000.0,2430060000.0,1188480000000.0,1.9041548859763198e-07,-3.664001722528261e-07,-0.8488526704192366
-1.5,-960167000000.0,166455000.0,961222000000.0,1221880000.0,961222000000.0,1.540047428486748e-07,-3.5909905333168766e-07,-0.8319379013700008
-1.4,-739111000000.0,102502000.0,740216000000.0,1207010000.0,740216000000.0,1.1859567793129439e-07,-3.4879064886853203e-07,-0.8080560439939259
-1.3,-524682000000.0,56188700.0,525826000000.0,1200300000.0,525826000000.0,8.42466130749684e-08,-3.36331322274231e-07,-0.7791910667037406
-1.2,-318869000000.0,25382600.0,320373000000.0,1530260000.0,320373000000.0,5.1329413476448196e-08,-3.2058913575686404e-07,-0.742720567846322
-1.1,-125626000000.0,8378840.0,125634000000.0,16595800.0,125634000000.0,2.01287859235956e-08,-2.9687547961469346e-07,-0.6877822739642024
-1.0,50324800000.0,1207320.0,-50217200000.0,108770000.0,-50217200000.0,-8.04568244649048e-09,-2.6273533859144087e-07,-0.6086885614861407
-0.9,202308000000.0,34833.7,-202339000000.0,-31531700.0,-202339000000.0,-3.24182817946926e-08,-2.1925931432187063e-07,-0.5079660670792032
-0.8,323968000000.0,1462.89,-323919000000.0,48972200.0,-323919000000.0,-5.1897545310864595e-08,-1.786338827195129e-07,-0.4138476448891617
-0.7,425339000000.0,6.63255,-425328000000.0,10802600.0,-425328000000.0,-6.814505833859519e-08,-1.5210904745532594e-07,-0.35239658959080605
-0.6,513775000000.0,0.00519327,-513797000000.0,-21403400.0,-513797000000.0,-8.231935480192979e-08,-1.3454518610510107e-07,-0.3117057500687005
-0.5,593273000000.0,-0.000270957,-593281000000.0,-7922290.0,-593281000000.0,-9.50540955596154e-08,-1.2203138550524407e-07,-0.28271457085890267
-0.4,666127000000.0,-0.00426632,-666129000000.0,-2591200.0,-666129000000.0,-1.067256319029786e-07,-1.1255771506840198e-07,-0.2607665723098295
-0.3,733786000000.0,-0.0721537,-733787000000.0,-748384.0,-733787000000.0,-1.175656385732958e-07,-1.0484163239905796e-07,-0.2428904415788409
-0.2,797225000000.0,-1.30415,-797003000000.0,221709000.0,-797003000000.0,-1.276939583827902e-07,-9.873573724688396e-08,-0.2287446911187501
-0.1,857132000000.0,-24.8585,-857039000000.0,93489500.0,-857039000000.0,-1.3731278602267258e-07,-9.372012329414703e-08,-0.21712483496149118
0.0,914026000000.0,-496.665,-913994000000.0,32238100.0,-913994000000.0,-1.464379830416196e-07,-8.914430682744297e-08,-0.20652387371404435
0.1,968325000000.0,-10332.4,-968318000000.0,6360910.0,-968318000000.0,-1.5514164738816118e-07,-8.552098436965194e-08,-0.1981295901492331
0.2,1020750000000.0,-221311.0,-1020750000000.0,-2874990.0,-1020750000000.0,-1.6354217991554998e-07,-8.863401356951402e-08,-0.2053416586729689
0.3,1078960000000.0,-4341180.0,-1078960000000.0,-3515740.0,-1078960000000.0,-1.7286845010206398e-07,-1.3527978409178998e-07,-0.313407620072886
0.4,1189690000000.0,-38190800.0,-1189620000000.0,30233600.0,-1189620000000.0,-1.9059813673390798e-07,-2.3129021888423998e-07,-0.5358385033898481
0.5,1367960000000.0,-119954000.0,-1367680000000.0,161864000.0,-1367680000000.0,-2.1912649387891197e-07,-3.0918003594615014e-07,-0.7162886893298419
