sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.200000E+001      0.149382E+014      0.553264E-039      0.574069E-017      0.149382E+014 
     -0.199000E+001      0.149216E+014      0.547503E-039      0.574154E-017      0.149216E+014 
     -0.198000E+001      0.149052E+014      0.541798E-039      0.574246E-017      0.149052E+014 
     -0.197000E+001      0.148888E+014      0.536149E-039      0.574340E-017      0.148888E+014 
     -0.196000E+001      0.148724E+014      0.530553E-039      0.574436E-017      0.148724E+014 
     -0.195000E+001      0.148562E+014      0.525012E-039      0.574534E-017      0.148562E+014 
     -0.194000E+001      0.148399E+014      0.519525E-039      0.574634E-017      0.148399E+014 
     -0.193000E+001      0.148238E+014      0.514091E-039      0.574736E-017      0.148238E+014 
     -0.192000E+001      0.148077E+014      0.508711E-039      0.574840E-017      0.148077E+014 
     -0.191000E+001      0.147916E+014      0.503383E-039      0.574946E-017      0.147916E+014 
     -0.190000E+001      0.147756E+014      0.498108E-039      0.575055E-017      0.147756E+014 
     -0.189000E+001      0.147597E+014      0.492885E-039      0.575166E-017      0.147597E+014 
     -0.188000E+001      0.147438E+014      0.487714E-039      0.575279E-017      0.147438E+014 
     -0.187000E+001      0.147280E+014      0.482594E-039      0.575395E-017      0.147280E+014 
     -0.186000E+001      0.147122E+014      0.477526E-039      0.575513E-017      0.147122E+014 
     -0.185000E+001      0.146965E+014      0.472508E-039      0.575634E-017      0.146965E+014 
     -0.184000E+001      0.146809E+014      0.467541E-039      0.575758E-017      0.146809E+014 
     -0.183000E+001      0.146653E+014      0.462624E-039      0.575885E-017      0.146653E+014 
     -0.182000E+001      0.146498E+014      0.457758E-039      0.576015E-017      0.146498E+014 
     -0.181000E+001      0.146344E+014      0.452940E-039      0.576148E-017      0.146344E+014 
     -0.180000E+001      0.146190E+014      0.448172E-039      0.576284E-017      0.146190E+014 
     -0.179000E+001      0.146037E+014      0.443453E-039      0.576423E-017      0.146037E+014 
     -0.178000E+001      0.145884E+014      0.438783E-039      0.576566E-017      0.145884E+014 
     -0.177000E+001      0.145732E+014      0.434161E-039      0.576712E-017      0.145732E+014 
     -0.176000E+001      0.145581E+014      0.429587E-039      0.576863E-017      0.145581E+014 
     -0.175000E+001      0.145431E+014      0.425061E-039      0.577017E-017      0.145431E+014 
     -0.174000E+001      0.145281E+014      0.420583E-039      0.577175E-017      0.145281E+014 
     -0.173000E+001      0.145132E+014      0.416151E-039      0.577337E-017      0.145132E+014 
     -0.172000E+001      0.144983E+014      0.411767E-039      0.577504E-017      0.144983E+014 
     -0.171000E+001      0.144835E+014      0.407429E-039      0.577675E-017      0.144835E+014 
     -0.170000E+001      0.144688E+014      0.403137E-039      0.577851E-017      0.144688E+014 
     -0.169000E+001      0.144541E+014      0.398891E-039      0.578031E-017      0.144541E+014 
     -0.168000E+001      0.144396E+014      0.394691E-039      0.578217E-017      0.144396E+014 
     -0.167000E+001      0.144250E+014      0.390537E-039      0.578408E-017      0.144250E+014 
     -0.166000E+001      0.144106E+014      0.386427E-039      0.578605E-017      0.144106E+014 
     -0.165000E+001      0.143962E+014      0.382363E-039      0.578808E-017      0.143962E+014 
     -0.164000E+001      0.143819E+014      0.378343E-039      0.579016E-017      0.143819E+014 
     -0.163000E+001      0.143677E+014      0.374367E-039      0.579232E-017      0.143677E+014 
     -0.162000E+001      0.143535E+014      0.370436E-039      0.579453E-017      0.143535E+014 
     -0.161000E+001      0.143395E+014      0.366548E-039      0.579682E-017      0.143395E+014 
     -0.160000E+001      0.143254E+014      0.362703E-039      0.579918E-017      0.143254E+014 
     -0.159000E+001      0.143115E+014      0.358902E-039      0.580161E-017      0.143115E+014 
     -0.158000E+001      0.142976E+014      0.355144E-039      0.580413E-017      0.142976E+014 
     -0.157000E+001      0.142839E+014      0.351429E-039      0.580673E-017      0.142839E+014 
     -0.156000E+001      0.142701E+014      0.347756E-039      0.580941E-017      0.142701E+014 
     -0.155000E+001      0.142565E+014      0.344125E-039      0.581219E-017      0.142565E+014 
     -0.154000E+001      0.142429E+014      0.340537E-039      0.581507E-017      0.142429E+014 
     -0.153000E+001      0.142295E+014      0.336990E-039      0.581804E-017      0.142295E+014 
     -0.152000E+001      0.142161E+014      0.333484E-039      0.582113E-017      0.142161E+014 
     -0.151000E+001      0.142027E+014      0.330020E-039      0.582433E-017      0.142027E+014 
     -0.150000E+001      0.141895E+014      0.326597E-039      0.582764E-017      0.141895E+014 
     -0.149000E+001      0.141763E+014      0.323214E-039      0.583108E-017      0.141763E+014 
     -0.148000E+001      0.141632E+014      0.319872E-039      0.583465E-017      0.141632E+014 
     -0.147000E+001      0.141502E+014      0.316571E-039      0.583837E-017      0.141502E+014 
     -0.146000E+001      0.141373E+014      0.313309E-039      0.584223E-017      0.141373E+014 
     -0.145000E+001      0.141244E+014      0.310087E-039      0.584624E-017      0.141244E+014 
     -0.144000E+001      0.141117E+014      0.306905E-039      0.585042E-017      0.141117E+014 
     -0.143000E+001      0.140990E+014      0.303762E-039      0.585478E-017      0.140990E+014 
     -0.142000E+001      0.140864E+014      0.300659E-039      0.585932E-017      0.140864E+014 
     -0.141000E+001      0.140739E+014      0.297595E-039      0.586405E-017      0.140739E+014 
     -0.140000E+001      0.140615E+014      0.294569E-039      0.586900E-017      0.140615E+014 
     -0.139000E+001      0.140491E+014      0.291582E-039      0.587416E-017      0.140491E+014 
     -0.138000E+001      0.140369E+014      0.288633E-039      0.587956E-017      0.140369E+014 
     -0.137000E+001      0.140247E+014      0.285723E-039      0.588521E-017      0.140247E+014 
     -0.136000E+001      0.140127E+014      0.282851E-039      0.589113E-017      0.140127E+014 
     -0.135000E+001      0.140007E+014      0.280016E-039      0.589733E-017      0.140007E+014 
     -0.134000E+001      0.139888E+014      0.277220E-039      0.590383E-017      0.139888E+014 
     -0.133000E+001      0.139770E+014      0.274460E-039      0.591066E-017      0.139770E+014 
     -0.132000E+001      0.139653E+014      0.271739E-039      0.591784E-017      0.139653E+014 
     -0.131000E+001      0.139536E+014      0.269054E-039      0.592539E-017      0.139536E+014 
     -0.130000E+001      0.139421E+014      0.266406E-039      0.593333E-017      0.139421E+014 
     -0.129000E+001      0.139307E+014      0.263796E-039      0.594170E-017      0.139307E+014 
     -0.128000E+001      0.139194E+014      0.261222E-039      0.595053E-017      0.139194E+014 
     -0.127000E+001      0.139081E+014      0.258685E-039      0.595986E-017      0.139081E+014 
     -0.126000E+001      0.138970E+014      0.256184E-039      0.596971E-017      0.138970E+014 
     -0.125000E+001      0.138859E+014      0.253720E-039      0.598014E-017      0.138859E+014 
     -0.124000E+001      0.138750E+014      0.251292E-039      0.599118E-017      0.138750E+014 
     -0.123000E+001      0.138642E+014      0.248900E-039      0.600289E-017      0.138642E+014 
     -0.122000E+001      0.138534E+014      0.246544E-039      0.601532E-017      0.138534E+014 
     -0.121000E+001      0.138428E+014      0.244225E-039      0.602854E-017      0.138428E+014 
     -0.120000E+001      0.138322E+014      0.241941E-039      0.604261E-017      0.138322E+014 
     -0.119000E+001      0.138218E+014      0.239694E-039      0.605761E-017      0.138218E+014 
     -0.118000E+001      0.138115E+014      0.237483E-039      0.607362E-017      0.138115E+014 
     -0.117000E+001      0.138013E+014      0.235307E-039      0.609074E-017      0.138013E+014 
     -0.116000E+001      0.137912E+014      0.233168E-039      0.610907E-017      0.137912E+014 
     -0.115000E+001      0.137812E+014      0.231065E-039      0.612855E-017      0.137812E+014 
     -0.114000E+001      0.137713E+014      0.228998E-039      0.614969E-017      0.137713E+014 
     -0.113000E+001      0.137616E+014      0.226967E-039      0.617244E-017      0.137616E+014 
     -0.112000E+001      0.137519E+014      0.224972E-039      0.619701E-017      0.137519E+014 
     -0.111000E+001      0.137424E+014      0.223014E-039      0.622358E-017      0.137424E+014 
     -0.110000E+001      0.137330E+014      0.221092E-039      0.625239E-017      0.137330E+014 
     -0.109000E+001      0.137237E+014      0.219207E-039      0.628371E-017      0.137237E+014 
     -0.108000E+001      0.137146E+014      0.217358E-039      0.631784E-017      0.137146E+014 
